,date,account_value
385,2020-10-01,92543.1539735108
386,2020-10-02,95356.07833609679
387,2020-10-05,97084.96225901919
388,2020-10-06,97290.1538362973
389,2020-10-07,97791.37509258208
390,2020-10-08,98422.04923750334
391,2020-10-09,98122.78551957376
392,2020-10-12,98666.75227056869
393,2020-10-13,98116.01747259084
394,2020-10-14,99443.07634152047
395,2020-10-15,98160.97942611261
396,2020-10-16,98498.18719667914
397,2020-10-19,97258.20686480448
398,2020-10-20,97090.53305705023
399,2020-10-21,95568.53798862583
400,2020-10-22,95352.9065746689
401,2020-10-23,96141.18183325071
402,2020-10-26,94165.57986344933
403,2020-10-27,92843.83001354992
404,2020-10-28,90748.13942678882
405,2020-10-29,90463.3563852514
406,2020-10-30,92438.07758133377
407,2020-11-02,93600.05575613386
408,2020-11-03,95448.63198129681
409,2020-11-04,95312.51155891226
410,2020-11-05,96219.084177662
411,2020-11-06,96518.87808014982
412,2020-11-09,98457.52924517744
413,2020-11-10,99176.58477527098
414,2020-11-11,99251.72931943246
415,2020-11-12,98571.4293636309
416,2020-11-13,99487.06891613577
417,2020-11-16,100048.15092891215
418,2020-11-17,99439.73158752568
419,2020-11-18,100065.06113101688
420,2020-11-19,99469.59436084634
421,2020-11-20,100490.12563781514
422,2020-11-23,100412.90268910672
423,2020-11-24,101445.07825569024
424,2020-11-25,102084.46611942795
425,2020-11-26,101731.478522196
426,2020-11-27,102595.14302531979
427,2020-11-30,102615.0473093163
428,2020-12-01,102001.32528235418
429,2020-12-02,101863.4603995553
430,2020-12-03,100350.1140236368
431,2020-12-04,101276.49065049792
432,2020-12-07,101426.26617094502
433,2020-12-08,100732.9006220655
434,2020-12-09,101204.34402178983
435,2020-12-10,100717.33380785915
436,2020-12-11,100488.97504016563
437,2020-12-14,100913.33437718367
438,2020-12-15,101596.63829953775
439,2020-12-16,101643.57409065861
440,2020-12-17,101839.4775080305
441,2020-12-18,101243.22748450616
442,2020-12-21,99620.66389503262
443,2020-12-22,101498.23905479898
444,2020-12-23,102522.0512375768
445,2020-12-24,102428.95885543872
446,2020-12-28,103753.05758518763
447,2020-12-29,103650.10642495236
448,2020-12-30,103504.90456765573
449,2020-12-31,103141.82544507406
450,2021-01-04,103968.28107561881
451,2021-01-05,104087.55859171135
452,2021-01-06,106758.80712859298
453,2021-01-07,108358.90005025073
454,2021-01-08,108136.58759838052
455,2021-01-11,107687.79271489083
456,2021-01-12,107149.45478501728
457,2021-01-13,107752.53265735846
458,2021-01-14,108507.37156046668
459,2021-01-15,106548.30157229071
460,2021-01-18,107502.77123866041
461,2021-01-19,107583.43848274909
462,2021-01-20,107223.32806017032
463,2021-01-21,106291.30553028733
464,2021-01-22,105319.1009145187
465,2021-01-25,105019.29688020304
466,2021-01-26,107050.33903824132
467,2021-01-27,105352.85140808481
468,2021-01-28,106229.02601020847
469,2021-01-29,104951.95947374722
470,2021-02-01,105898.510306743
471,2021-02-02,106817.42022509099
472,2021-02-03,107297.08643987385
473,2021-02-04,107587.35312823078
474,2021-02-05,108388.17776353477
475,2021-02-08,108910.64946637722
476,2021-02-09,107288.19286794818
477,2021-02-10,106177.55351444351
478,2021-02-11,106873.17360364013
479,2021-02-12,106786.47646744772
480,2021-02-15,108053.64959469406
481,2021-02-16,108132.64293157673
482,2021-02-17,107347.72604846275
483,2021-02-18,108478.63873219182
484,2021-02-19,110001.64169552912
485,2021-02-22,108238.23867919826
486,2021-02-23,108143.49014591942
487,2021-02-24,107677.91829030403
488,2021-02-25,109088.71904738381
489,2021-02-26,108324.2713847204
490,2021-03-01,110008.03213794623
491,2021-03-02,109125.94395122046
492,2021-03-03,106781.23955985274
493,2021-03-04,106797.92725406658
494,2021-03-05,105277.75606483464
495,2021-03-08,106330.19506794147
496,2021-03-09,108327.37060900984
497,2021-03-10,108382.69063810323
498,2021-03-11,109879.57121608256
499,2021-03-12,110068.50640079776
500,2021-03-15,110397.22689752746
501,2021-03-16,110767.89163734316
502,2021-03-17,109192.03499461923
503,2021-03-18,109435.3023231023
504,2021-03-19,108697.47627771685
505,2021-03-22,108364.44829003546
506,2021-03-23,108359.23156717684
507,2021-03-24,108756.41751349217
508,2021-03-25,108124.9042480578
509,2021-03-26,110596.80137879032
510,2021-03-29,111117.11435501972
511,2021-03-30,113245.03559228191
512,2021-03-31,114343.18706036093
513,2021-04-01,113624.83882750769
514,2021-04-06,113393.26923852268
515,2021-04-07,112865.72915626045
516,2021-04-08,113938.14359667011
517,2021-04-09,113196.98204728114
518,2021-04-12,112415.57140898956
519,2021-04-13,112662.67087350918
520,2021-04-14,112927.56258431255
521,2021-04-15,112351.51749180055
522,2021-04-16,113317.38700349056
523,2021-04-19,113579.40249132035
524,2021-04-20,111369.3654330216
525,2021-04-21,112763.76042621164
526,2021-04-22,114282.82694646207
527,2021-04-23,113737.2748420731
528,2021-04-26,114438.81124780986
529,2021-04-27,114911.4959335436
530,2021-04-28,114481.76304736995
531,2021-04-29,114701.03555004163
532,2021-04-30,114285.18928115655
533,2021-05-03,114261.55225497577
534,2021-05-04,112954.5593888283
535,2021-05-05,114814.64494780987
536,2021-05-06,115045.28448451919
537,2021-05-07,116622.66265944185
538,2021-05-10,116449.9337881224
539,2021-05-11,115043.81653286092
540,2021-05-12,114514.05909634384
541,2021-05-13,113795.71962667162
542,2021-05-14,115732.10430460425
543,2021-05-17,115518.9547223773
544,2021-05-18,115919.87905396834
545,2021-05-19,114680.79415285021
546,2021-05-20,115382.54891483877
547,2021-05-21,115554.27277544116
548,2021-05-24,115333.36554402066
549,2021-05-25,115600.84585162492
550,2021-05-26,115708.60154152627
551,2021-05-27,115136.5668405961
552,2021-05-28,115466.54030099603
553,2021-05-31,115000.94218114727
554,2021-06-01,115106.96097273135
555,2021-06-02,114244.16854825709
556,2021-06-03,113961.69384812376
557,2021-06-04,114109.05541258349
558,2021-06-07,114099.01555695383
559,2021-06-08,114233.35341363793
560,2021-06-09,114344.25776627935
561,2021-06-10,113769.58947831867
562,2021-06-11,114367.94780936994
563,2021-06-14,115602.61824721986
564,2021-06-15,115688.54991211853
565,2021-06-16,115367.90403661864
566,2021-06-17,114974.12872337822
567,2021-06-18,113151.51857307984
568,2021-06-21,112215.206753072
569,2021-06-22,112346.77638841087
570,2021-06-23,111491.88972916579
571,2021-06-24,113084.55470659878
572,2021-06-25,113681.36341081464
573,2021-06-28,112582.23530151647
574,2021-06-29,113450.56431253007
575,2021-06-30,112220.64300315142
576,2021-07-01,113216.96216188681
577,2021-07-02,113269.55750225272
578,2021-07-05,113656.6174446737
579,2021-07-06,113530.7760764688
580,2021-07-07,113869.99015376937
581,2021-07-08,112434.4522853807
582,2021-07-09,113221.59764881115
583,2021-07-12,113742.04542152432
584,2021-07-13,112758.70100567135
585,2021-07-14,112017.43973644903
586,2021-07-15,110393.25479605062
587,2021-07-16,110684.12491450133
588,2021-07-19,109186.9555915522
589,2021-07-20,109432.63610843256
590,2021-07-21,111296.78744177554
591,2021-07-22,112387.7829445018
592,2021-07-23,113393.40328881131
593,2021-07-26,113182.00886963932
594,2021-07-27,112365.9861440881
595,2021-07-28,113768.15380109435
596,2021-07-29,114261.26196007789
597,2021-07-30,113197.11643280034
598,2021-08-02,114890.24608293377
599,2021-08-03,114714.44135568051
600,2021-08-04,114752.46033570709
601,2021-08-05,114651.05603299754
602,2021-08-06,114657.71244909268
603,2021-08-09,115125.38567774261
604,2021-08-10,115576.17584472969
605,2021-08-11,116419.1641768549
606,2021-08-12,116386.84751442926
607,2021-08-13,116822.77450529028
608,2021-08-16,116078.21772521835
609,2021-08-17,115529.88003842058
610,2021-08-18,116720.33187474299
611,2021-08-19,116290.2199795011
612,2021-08-20,115983.30125749594
613,2021-08-23,116274.82009763013
614,2021-08-24,116222.2846584194
615,2021-08-25,115694.10496841953
616,2021-08-26,114265.19932077173
617,2021-08-27,114547.70563374215
618,2021-08-30,114465.26238551048
619,2021-08-31,114043.36447355022
620,2021-09-01,116012.93106280845
621,2021-09-02,116561.52505058743
622,2021-09-03,115645.57093773427
623,2021-09-06,115855.2383495465
624,2021-09-07,116033.33689999541
625,2021-09-08,115850.3508064222
626,2021-09-09,115110.86860791818
627,2021-09-10,114146.55493793314
628,2021-09-13,115243.20793533746
629,2021-09-14,115622.37511150105
